"year","goal_id","dimension","region_id","value"
"2012","AO","score","48","92.33"
"2012","AO","score","49","65.86"
"2012","AO","score","50","96.01"
"2012","AO","score","51","94.7"
"2012","AO","score","52","87.8"
"2012","AO","score","53","41.84"
"2012","AO","score","54","96.56"
"2012","AO","score","55","78.09"
"2012","AO","score","56","95.18"
"2012","AO","score","57","85.71"
"2012","AO","score","58","79.43"
"2012","AO","score","59","79.71"
"2012","AO","score","60","72.14"
"2012","AO","score","61","70.02"
"2012","AO","score","62","86.55"
"2012","AO","score","63","82.63"
"2012","AO","score","64","78.29"
"2012","AO","score","65","94.65"
"2012","AO","score","66","91.86"
"2012","AO","score","67","48.51"
"2012","AO","score","68","71.31"
"2012","AO","score","69","88.91"
"2012","AO","score","70","89.49"
"2012","AO","score","71","59.07"
"2012","AO","score","72","68.71"
"2012","AO","score","73","74.43"
"2012","AO","score","74","21.57"
"2012","AO","score","75","32.41"
"2012","AO","score","76","84.09"
"2012","AO","score","77","72.42"
"2012","AO","score","78","66.26"
"2012","AO","score","79","75.91"
"2012","AO","score","80","69.65"
"2012","AO","score","81","79.69"
"2012","AO","score","82","50.02"
"2012","AO","score","84","74.99"
"2012","AO","score","85","77.94"
"2012","AO","score","86","88.35"
"2012","AO","score","88","56.32"
"2012","AO","score","89","NA"
"2012","AO","score","90","NA"
"2012","AO","score","91","NA"
"2012","AO","score","92","NA"
"2012","AO","score","93","NA"
"2012","AO","score","94","NA"
"2012","AO","score","95","77.94"
"2012","AO","score","96","98.97"
"2012","AO","score","97","72.16"
"2012","AO","score","98","65.51"
"2012","AO","score","99","78.51"
"2012","AO","score","100","79.67"
"2012","AO","score","101","27.32"
"2012","AO","score","102","53.03"
"2012","AO","score","103","87.59"
"2012","AO","score","104","84.47"
"2012","AO","score","105","NA"
"2012","AO","score","106","72.67"
"2012","AO","score","107","NA"
"2012","AO","score","108","87.91"
"2012","AO","score","110","85.4"
"2012","AO","score","111","87.18"
"2012","AO","score","112","80.17"
"2012","AO","score","113","82.79"
"2012","AO","score","114","75.76"
"2012","AO","score","115","64.67"
"2012","AO","score","116","84.15"
"2012","AO","score","117","80.01"
"2012","AO","score","118","88.48"
"2012","AO","score","119","80.24"
"2012","AO","score","120","100"
"2012","AO","score","121","68.2"
"2012","AO","score","122","79.5"
"2012","AO","score","123","54.16"
"2012","AO","score","124","73.46"
"2012","AO","score","125","63.68"
"2012","AO","score","126","63.54"
"2012","AO","score","127","86.5"
"2012","AO","score","129","80.54"
"2012","AO","score","130","100"
"2012","AO","score","131","98.63"
"2012","AO","score","132","83.78"
